"filename", "language", "YAML", "Docker", "Go", "comment", "blank", "total"
"d:\working\flagger-backend\Dockerfile", "Docker", 0, 12, 0, 0, 14, 26
"d:\working\flagger-backend\appconfig\config.go", "Go", 0, 0, 11, 0, 1, 12
"d:\working\flagger-backend\config.yaml", "YAML", 5, 0, 0, 0, 2, 7
"d:\working\flagger-backend\dbhandlers\baseaction.go", "Go", 0, 0, 29, 0, 2, 31
"d:\working\flagger-backend\dbhandlers\flaggeraction.go", "Go", 0, 0, 3, 0, 0, 3
"d:\working\flagger-backend\dbhandlers\useraction.go", "Go", 0, 0, 60, 0, 4, 64
"d:\working\flagger-backend\models\post_form_type.go", "Go", 0, 0, 9, 0, 1, 10
"d:\working\flagger-backend\models\return_data_type.go", "Go", 0, 0, 22, 0, 2, 24
"d:\working\flagger-backend\routers\auth.go", "Go", 0, 0, 10, 0, 0, 10
"d:\working\flagger-backend\routers\flagger.go", "Go", 0, 0, 54, 1, 4, 59
"d:\working\flagger-backend\routers\router.go", "Go", 0, 0, 2, 0, 0, 2
"d:\working\flagger-backend\routers\user.go", "Go", 0, 0, 36, 0, 1, 37
"d:\working\flagger-backend\tools\flagger.go", "Go", 0, 0, 4, 0, 3, 7
"Total", "-", 5, 12, 240, 1, 34, 292
